=== web_gowitness ===
Targets: 2 IPs, 2 domains
=== gowitness scan file ===
2026/02/02 00:11:52 WARN no writers have been configured. to persist probe results, add writers using --write-* flags
2026/02/02 00:11:53 ERROR: could not unmarshal event: json: cannot unmarshal JSON string into Go network.CookiePartitionKey within "/cookiePartitionKey"
2026/02/02 00:11:53 ERROR: could not unmarshal event: json: cannot unmarshal JSON string into Go network.CookiePartitionKey within "/cookiePartitionKey"
2026/02/02 00:11:53 ERROR: could not unmarshal event: json: cannot unmarshal JSON string into Go network.CookiePartitionKey within "/cookiePartitionKey"
2026/02/02 00:11:54 ERROR: could not unmarshal event: json: cannot unmarshal JSON string into Go network.CookiePartitionKey within "/cookiePartitionKey"
2026/02/02 00:11:54 ERROR: could not unmarshal event: json: cannot unmarshal JSON string into Go network.CookiePartitionKey within "/cookiePartitionKey"
2026/02/02 00:11:54 ERROR: could not unmarshal event: json: cannot unmarshal JSON string into Go network.CookiePartitionKey within "/cookiePartitionKey"
2026/02/02 00:11:54 ERROR: could not unmarshal event: json: cannot unmarshal JSON string into Go network.CookiePartitionKey within "/cookiePartitionKey"
2026/02/02 00:11:54 ERROR: could not unmarshal event: json: cannot unmarshal JSON string into Go network.CookiePartitionKey within "/cookiePartitionKey"
2026/02/02 00:11:54 ERROR: could not unmarshal event: json: cannot unmarshal JSON string into Go network.CookiePartitionKey within "/cookiePartitionKey"
2026/02/02 00:11:54 ERROR: could not unmarshal event: json: cannot unmarshal JSON string into Go network.CookiePartitionKey within "/cookiePartitionKey"
2026/02/02 00:11:54 ERROR: could not unmarshal event: json: cannot unmarshal JSON string into Go network.CookiePartitionKey within "/cookiePartitionKey"
2026/02/02 00:11:54 ERROR: could not unmarshal event: json: cannot unmarshal JSON string into Go network.CookiePartitionKey within "/cookiePartitionKey"
2026/02/02 00:11:54 ERROR: could not unmarshal event: json: cannot unmarshal JSON string into Go network.CookiePartitionKey within "/cookiePartitionKey"
2026/02/02 00:11:54 ERROR: could not unmarshal event: json: cannot unmarshal JSON string into Go network.CookiePartitionKey within "/cookiePartitionKey"
2026/02/02 00:11:54 ERROR: could not unmarshal event: json: cannot unmarshal JSON string into Go network.CookiePartitionKey within "/cookiePartitionKey"
2026/02/02 00:11:54 ERROR: could not unmarshal event: json: cannot unmarshal JSON string into Go network.CookiePartitionKey within "/cookiePartitionKey"
2026/02/02 00:11:54 ERROR: could not unmarshal event: json: cannot unmarshal JSON string into Go network.CookiePartitionKey within "/cookiePartitionKey"
2026/02/02 00:11:54 ERROR: could not unmarshal event: json: cannot unmarshal JSON string into Go network.CookiePartitionKey within "/cookiePartitionKey"
2026/02/02 00:11:54 ERROR: could not unmarshal event: json: cannot unmarshal JSON string into Go network.CookiePartitionKey within "/cookiePartitionKey"
2026/02/02 00:11:54 ERROR: could not unmarshal event: json: cannot unmarshal JSON string into Go network.CookiePartitionKey within "/cookiePartitionKey"
2026/02/02 00:11:54 ERROR: could not unmarshal event: json: cannot unmarshal JSON string into Go network.CookiePartitionKey within "/cookiePartitionKey"
2026/02/02 00:11:54 ERROR: could not unmarshal event: json: cannot unmarshal JSON string into Go network.CookiePartitionKey within "/cookiePartitionKey"
2026/02/02 00:11:54 ERROR: could not unmarshal event: json: cannot unmarshal JSON string into Go network.CookiePartitionKey within "/cookiePartitionKey"
2026/02/02 00:11:54 ERROR: could not unmarshal event: json: cannot unmarshal JSON string into Go network.CookiePartitionKey within "/cookiePartitionKey"
2026/02/02 00:11:54 ERROR: could not unmarshal event: json: cannot unmarshal JSON string into Go network.CookiePartitionKey within "/cookiePartitionKey"
2026/02/02 00:11:54 ERROR: could not unmarshal event: json: cannot unmarshal JSON string into Go network.CookiePartitionKey within "/cookiePartitionKey"
2026/02/02 00:11:54 ERROR: could not unmarshal event: json: cannot unmarshal JSON string into Go network.CookiePartitionKey within "/cookiePartitionKey"
2026/02/02 00:11:54 ERROR: could not unmarshal event: json: cannot unmarshal JSON string into Go network.CookiePartitionKey within "/cookiePartitionKey"
2026/02/02 00:11:55 ERROR: could not unmarshal event: json: cannot unmarshal JSON string into Go network.CookiePartitionKey within "/cookiePartitionKey"
2026/02/02 00:11:57 INFO result 🤖 target=http://awfulsecurity.org:443 status-code=400 title="" have-screenshot=true
2026/02/02 00:11:57 ERROR: could not unmarshal event: json: cannot unmarshal JSON string into Go network.CookiePartitionKey within "/cookiePartitionKey"
2026/02/02 00:11:57 ERROR: could not unmarshal event: json: cannot unmarshal JSON string into Go network.CookiePartitionKey within "/cookiePartitionKey"
2026/02/02 00:11:58 INFO result 🤖 target=http://intragin.awfulsecurity.org:443 status-code=400 title="400 The plain HTTP request was sent to HTTPS port" have-screenshot=true
2026/02/02 00:11:58 ERROR: could not unmarshal event: json: cannot unmarshal JSON string into Go network.CookiePartitionKey within "/cookiePartitionKey"
2026/02/02 00:11:59 ERROR: could not unmarshal event: json: cannot unmarshal JSON string into Go network.CookiePartitionKey within "/cookiePartitionKey"
2026/02/02 00:11:59 ERROR: could not unmarshal event: json: cannot unmarshal JSON string into Go network.CookiePartitionKey within "/cookiePartitionKey"
2026/02/02 00:11:59 ERROR: could not unmarshal event: json: cannot unmarshal JSON string into Go network.CookiePartitionKey within "/cookiePartitionKey"
2026/02/02 00:11:59 ERROR: could not unmarshal event: json: cannot unmarshal JSON string into Go network.CookiePartitionKey within "/cookiePartitionKey"
2026/02/02 00:11:59 ERROR: could not unmarshal event: json: cannot unmarshal JSON string into Go network.CookiePartitionKey within "/cookiePartitionKey"
2026/02/02 00:12:00 ERROR: could not unmarshal event: json: cannot unmarshal JSON string into Go network.CookiePartitionKey within "/cookiePartitionKey"
2026/02/02 00:12:00 ERROR: could not unmarshal event: json: cannot unmarshal JSON string into Go network.CookiePartitionKey within "/cookiePartitionKey"
2026/02/02 00:12:00 ERROR: could not unmarshal event: json: cannot unmarshal JSON string into Go network.CookiePartitionKey within "/cookiePartitionKey"
2026/02/02 00:12:00 ERROR: could not unmarshal event: json: cannot unmarshal JSON string into Go network.CookiePartitionKey within "/cookiePartitionKey"
2026/02/02 00:12:00 ERROR: could not unmarshal event: json: cannot unmarshal JSON string into Go network.CookiePartitionKey within "/cookiePartitionKey"
2026/02/02 00:12:00 ERROR: could not unmarshal event: json: cannot unmarshal JSON string into Go network.CookiePartitionKey within "/cookiePartitionKey"
2026/02/02 00:12:00 ERROR: could not unmarshal event: json: cannot unmarshal JSON string into Go network.CookiePartitionKey within "/cookiePartitionKey"
2026/02/02 00:12:00 ERROR: could not unmarshal event: json: cannot unmarshal JSON string into Go network.CookiePartitionKey within "/cookiePartitionKey"
